game,crc,name
1,0x28003833,"Solar_Panel_01_Spwr"
1,0x23D2952E,"v_Solar_Panel_Destroyed_VFX_Prefab_Preview"
1,0x766BD64F,"BIOG_ThorianPod_Diff"
1,0x6815CCEB,"BIOG_ThorianPod_Norm"
1,0xEDA747ED,"BIOG_ThorianPod_Spec"
1,0xAE51E06C,"BIOG_ThorianPodAsari_Emis"
1,0xD044268D,"BIOG_ThorianPodDeath_Diff"
1,0x87028B80,"ThorianPod_Opac"
1,0xB34152CB,"ThorianPod_Tmis_Mask"
1,0x1AC257A4,"Ore_Diff"
1,0x4BECD05C,"NOR10_viewice"
1,0xF00AB3ED,"NOR10_viewsta"
1,0x619F358D,"NOR10_windowspace_DIFF"
1,0xE2FDF561,"WAR20_windowwar_DIFF"
1,0xD33CDB8B,"Bunker_Blend_Diff"
1,0x66CD4BB3,"Bunker_OVERLAY_Norm"
1,0x7C50C995,"bunker_trims01_DIFF"
1,0xEFC61AB3,"Bunker_TRIMS01_Emis"
1,0xC651C89E,"Bunker_TRIMS01_Emis02"
1,0x26402E38,"bunker_trims01_norm"
1,0xECE12671,"Bunker_TRIMS01_Spec"
1,0x434EC5A0,"bunker_WALL01_DIFF"
1,0x8AC99A54,"Bunker_WALL01_Emis"
1,0x11D94831,"bunker_WALL01_norm"
1,0x59921C6E,"Bunker_WALL01_Spec"
1,0x1610C890,"Bunker_WALL02_Diff"
1,0xC39D6056,"Bunker_WALL02_Norm"
1,0xF96A6BBA,"Bunker_WALL02_Spec"
1,0xF284E329,"Bunker_WALL04_Diff"
1,0x7B98D9AF,"Bunker_WALL04_Norm"
1,0xC1565DEF,"Bunker_WALL04_Spec"
1,0xA5C0C3E1,"Bunker_WALLC01_Diff"
1,0xE05D0837,"Desk_and_Chair_02_Diff"
1,0xEFC567E3,"Desk_and_Chair_02_Emis"
1,0x4AC46681,"Desk_and_Chair_02_Norm"
1,0x9C8A2A83,"Desk_and_Chair_02_Spec"
1,0x6212FA98,"Desk_and_Chair_02_SPpw"
1,0x5C7FABB6,"Desk_and_Chair_02_Tmask"
1,0xBBD0C3E8,"Hologram_VFX_Prefab_Preview"
1,0xA9871756,"Screen_Tmp"
1,0x2CA83AE4,"Locker_METAL_Diff"
1,0x9947985D,"Locker_METAL_Emiss"
1,0xA7BD0F2B,"Locker_METAL_Norm"
1,0xB03F6DD8,"Locker_METAL_Spec"
1,0xE10E4AF1,"Locker_METAL_SPwr"
1,0x451EDE7E,"Locker_METAL_Diff"
1,0x49D5D6A9,"Locker_METAL_Norm"
1,0x1735680C,"Locker_METAL_Spec"
1,0x699783C9,"Locker_METAL_SPwr"
1,0x7069D41F,"Power_Junction_01_Diff"
1,0xA724C48F,"Power_Junction_01_Emis"
1,0x0501F180,"Power_Junction_01_Norm"
1,0x27121130,"Power_Junction_01_Spec"
1,0x4A02ED54,"Power_Junction_01_SPwr"
1,0x9756DAFD,"PowerJunction_Heat_Prefab_Preview"
1,0x0D787074,"Tool1_01_Diff"
1,0x438EB97E,"Tool1_01_Emis"
1,0x8680BABB,"Tool1_01_Norm"
1,0x5A729E35,"Tool1_01_Refl"
1,0x75B75A21,"Tool1_01_Spec"
1,0xA058C142,"wallscreen_Holograms_Prefab_Preview"
1,0x57259319,"Wall_Screen_01_Diff"
1,0x7C4732AD,"Wall_Screen_01_Emis"
1,0xA69CD17A,"Wall_Screen_01_Norm"
1,0x7D0F8366,"Wall_Screen_01_Screen_Tmp"
1,0xFC6C3C03,"Wall_Screen_01_Spec"
1,0x5120E0DB,"Wall_Screen_01_SPpw"
1,0x7BD94A01,"Wall_Screen_01_tmask"
1,0xCD95F4B4,"Anti_Tank_Mine_01_Diff"
1,0xD1CFF454,"Anti_Tank_Mine_01_Emis"
1,0x10B54F75,"Anti_Tank_Mine_01_Norm"
1,0x0806697B,"Anti_Tank_Mine_01_Spec"
1,0x41884E5F,"Anti_Tank_Mine_01_Spwr"
1,0x8359F263,"Cafeteria_Table_01_Diff"
1,0xECA6A99E,"Cafeteria_Table_01_Norm"
1,0x13E173E3,"Cafeteria_Table_01_spec"
1,0xD598106A,"Cafeteria_Table_01_SPwr"
1,0xC318A5CD,"Cup_01_Diff"
1,0xBC1AEC72,"Cup_01_Norm"
1,0xE7FC4814,"Cup_01_Spec"
1,0x06CFC5F6,"Cup_01_SPwr"
1,0x289DD52A,"Floor_Lamp_01_Diff"
1,0xD84929A2,"Floor_Lamp_01_Emis"
1,0x4BAB962E,"Floor_Lamp_01_Norm"
1,0x49AD7BFD,"Floor_Lamp_01_SpecColor"
1,0x24AE09FA,"Floor_Lamp_01_SpecPower"
1,0x602088C4,"v_Floot_Lamp_Destroyed_VFX_Prefab_Preview"
1,0xFE98BBAE,"Geth_lamp_Diff"
1,0x83345291,"Geth_lamp_Norm"
1,0xA45E1265,"Lab_Equipment_01_Diff"
1,0xB7FA4E14,"Lab_Equipment_01_Emis"
1,0x4FF05825,"Lab_Equipment_01_Norm"
1,0x45511A45,"Lab_Equipment_01_Ref"
1,0x38C09E50,"Lab_Equipment_01_Spec"
1,0x19296B87,"Lab_Equipment_01_SPwr"
1,0xEC7D5481,"Sludge_Canister_01_Diff"
1,0x76CB6D66,"Sludge_Canister_01_Norm"
1,0x52100A80,"Sludge_Canister_01_Spec"
1,0x62AB8384,"ice50_storageshelf_diff"
1,0xF5FA78D7,"ice50_storageshelf_norm"
1,0xC13069C2,"WormNeck_Skull_01_Diff"
1,0xE97DBF89,"WormNeck_Skull_01_Norm"
1,0x75B9777B,"WormNeck_Skull_01_Spec"
1,0x97FD215C,"WormNeck_Skull_01_SPpw"
1,0x6878F089,"Alarm_Sensor_01_Diff"
1,0x4FF6020B,"Alarm_Sensor_01_Emis"
1,0x53C84529,"Alarm_Sensor_01_Norm"
1,0x6FC657B1,"Alarm_Sensor_01_Spec"
1,0x143D5EC2,"Alarm_Sensor_01_SPpw"
1,0x18023F6B,"Anthid_Lodge_01_Diff"
1,0xE175BC4A,"Anthid_Lodge_01_Norm"
1,0x1ACA740F,"Anthid_Lodge_01_Opac"
1,0xF523E8F8,"Anthid_Lodge_01_Spec"
1,0x4F059423,"Bench_01_Diff"
1,0x469DF9A9,"Bench_01_Norm"
1,0x010AF22B,"Bench_01_Spec"
1,0x3C26FA85,"Bunk_Beds_01_Diff"
1,0xBEF59DE3,"Bunk_Beds_01_Emis"
1,0xDBFB94D1,"BUnk_Beds_01_Norm"
1,0x4ABCB9F2,"Bunk_Beds_01_Spec"
1,0xA8A7F13D,"Bunk_Beds_01_Spwr"
1,0x899756C7,"Concrete_Pipe_01_Diff"
1,0x8D26A695,"concrete_pipe_01_norm"
1,0x1E32D493,"Concrete_Pipe_01_Spec"
1,0xFBDBBBE4,"Cot_01_Diff"
1,0x524BDCDE,"Cot_01_Norm"
1,0x7D0F8366,"Cot_01_Screen_Tmp"
1,0x8859C84E,"cot_01_Spec"
1,0x5B58568B,"Defense_Sensor_01_Diff"
1,0x9CE4DA88,"Defense_Sensor_01_Emis"
1,0x2CB9D994,"Defense_Sensor_01_Norm"
1,0x6BD677B8,"Defense_Sensor_01_Spec"
1,0x1C68FF7B,"Defense_Sensor_01_SpecLevel"
1,0x9C3E2FFA,"Desk_01_Diff"
1,0x57BFB4A1,"Desk_01_Norm"
1,0x5A729E35,"Desk_01_Refl"
1,0x24C5B816,"Desk_01_Spec"
1,0x4AFDE42F,"Desk_01_SPpw"
1,0x8F777D10,"Desk_and_Chair_01_Diff"
1,0x15F2C511,"Desk_and_Chair_01_Emm"
1,0xAEC4D15D,"Desk_and_Chair_01_Norm"
1,0x7D0F8366,"Desk_and_Chair_01_Screen_Tmp"
1,0xAAA73F26,"Desk_and_Chair_01_Spec"
1,0x8E347FCD,"Desk_and_Chair_01_SPpw"
1,0xC26F8560,"v_Screen_Turn_on_VFX_Prefab_Preview"
1,0x650861EE,"Desk_Lamp_01_Diff"
1,0x3F9D0AC1,"Desk_Lamp_01_Emm"
1,0x66D223D1,"Desk_Lamp_01_Norm"
1,0x45511A45,"Desk_Lamp_01_Ref"
1,0xCCF8A512,"Desk_Lamp_01_Spec"
1,0x39B63C94,"Desk_Lamp_01_TMask"
1,0xBAB7C61E,"v_Desk_Lamp_Dest_VFX_Prefab_Preview"
1,0x9F72945D,"Damaged_Car_01_Diff"
1,0x4091B9A1,"Damaged_Car_01_Norm"
1,0x8BA0217B,"Damaged_Car_01_Spec"
1,0xCC5471C2,"Damaged_Car_01_SPwr"
1,0x24711EB0,"Drill_01_Diff"
1,0x2605FF14,"Drill_01_Emiss"
1,0x4CE538A4,"Drill_01_Norm"
1,0xADF8C54D,"Drill_01_Spec"
1,0x98DC3447,"Drill_01_SPwr"
1,0xFAB2F795,"CubemapFace0"
1,0xFAB2F795,"CubemapFace1"
1,0xFAB2F795,"CubemapFace2"
1,0xFAB2F795,"CubemapFace3"
1,0xFAB2F795,"CubemapFace4"
1,0xFAB2F795,"CubemapFace5"
1,0x3BD9B02E,"Engine_Debris_01_Diff"
1,0xA962D835,"Engine_Debris_01_Norm"
1,0xFAB2F795,"Engine_Debris_01_Refmap"
1,0xCB975582,"Engine_Debris_01_Spec"
1,0xEFF81329,"Engine_Debris_01_SPwr"
1,0x145CE71D,"Escape_Pod_01_Diff"
1,0x23C325A9,"Escape_Pod_01_Norm"
1,0x9C3B274D,"Escape_Pod_01_Spec"
1,0xC5B50F6F,"Escape_Pod_01_SPpw"
1,0x8B608787,"Fuel_Tank_01_Diff"
1,0x07CEDD91,"Fuel_Tank_01_Norm"
1,0x05BAC9C7,"Fuel_Tank_Destroyed_VFX_Prefab_Preview"
1,0x30A7FA5B,"Fuel_Tankdestroyed_01_Diff"
1,0xCA9B19DC,"Fuel_Tankdestroyed_01_norm"
1,0x8A3D439E,"CubemapFace0"
1,0xB8AF4F3F,"CubemapFace1"
1,0xB1F72EDC,"CubemapFace2"
1,0x59A1FCEA,"CubemapFace3"
1,0xF85B026E,"CubemapFace4"
1,0x8966A8BD,"CubemapFace5"
1,0xB8AF4F3F,"ice00_CubeMap02NegX_Dup"
1,0x59A1FCEA,"ice00_CubeMap02NegY_Dup"
1,0xB69DD60F,"ice00_CubeMap02NegZ_Dup"
1,0x8966A8BD,"ice00_CubeMap02NegZ_Dup_Dup"
1,0x8A3D439E,"ice00_CubeMap02PosX_Dup"
1,0xB1F72EDC,"ice00_CubeMap02PosY_Dup"
1,0xF85B026E,"ice00_CubeMap02PosZ_Dup"
1,0x5A729E35,"Cube"
1,0xD205DF72,"Geth_bomb_diff"
1,0x1B57433E,"Geth_bomb_Emiss"
1,0x66BF0F41,"Geth_bomb_Norm"
1,0xBB6C9C53,"Geth_Terminal_01_Diff"
1,0xB06ABF0F,"Geth_Terminal_01_Emis"
1,0x3C03D7BC,"Geth_Terminal_01_Norm"
1,0x7D0F8366,"Geth_Terminal_01_Screen_Tmp"
1,0x594F9650,"Geth_Terminal_01_Spec"
1,0x5C28A787,"Hologram_Prefab_Preview"
1,0x193743D4,"Geth_Turret_01_Diff_Dup"
1,0x0C5D0DE6,"Geth_Turret_01_Norm_Dup"
1,0x41F6E779,"Geth_Turret_01_Ref_Dup"
1,0x5C646273,"Geth_Turret_01_Spec_Dup"
1,0x00C5105D,"Geth_Turret_01_SpecP_Dup"
1,0xE18D7E8C,"Geth_turretbase_diff"
1,0x7C4CDFF6,"Geth_turretbase_norm"
1,0x208C1F1F,"Harvester_Egg_01_Diff"
1,0xCDCE6463,"Harvester_Egg_01_Emis"
1,0x5EBC062E,"Harvester_Egg_01_Norm"
1,0x01112A66,"Harvester_Egg_01_Spec"
1,0x856AFA21,"Landing_Claw_01_Diff"
1,0xDFA832EE,"Landing_Claw_01_Emis"
1,0xBAE126E0,"Landing_Claw_01_Norm"
1,0x795F5A01,"Landing_Claw_01_Opac"
1,0xC5DD896B,"Landing_Claw_01_Spec"
1,0xE09C983A,"Large_computer_01_Diff"
1,0x2FD534A5,"Large_computer_01_Emiss"
1,0xDFF1C0D7,"Large_computer_01_Norm"
1,0x5A729E35,"Large_computer_01_Refmap"
1,0xEA09B883,"Large_computer_01_Spec"
1,0xEC426BF3,"Large_computer_01_SPpw"
1,0xD1BE5D2F,"Large_computer_02_Diff"
1,0xAD7BE29F,"Large_computer_02_Norm"
1,0x3E843BA6,"Large_computer_02_Spec"
1,0xF458023B,"Large_computer_02_Spec02"
1,0xF10B3E56,"Large_computer_02_Tmask"
1,0xC0963FF4,"Glass_Diff"
1,0x6BB3BA2E,"Glass_Emis"
1,0x3FAB02BE,"Glass_Opac"
1,0x1902A1CF,"MainFrame_01_Diff"
1,0x5DCFCA00,"MainFrame_01_Emis"
1,0x4F3A6764,"MainFrame_01_Norm"
1,0x566290DA,"MainFrame_01_Spec"
1,0xE9B35AC9,"MainFrame_01_SPpw"
1,0x106BD5C2,"mainframe_Hologram_Prefab_Preview"
1,0xCDF8CDAB,"Mobile_Med_Unit_01_Diff"
1,0xE08A26A9,"Mobile_Med_Unit_01_Emis"
1,0xD0D1E5C5,"Mobile_Med_Unit_01_Env"
1,0x0EAAE230,"Mobile_Med_Unit_01_Norm"
1,0x2EC70874,"Mobile_Med_Unit_01_Spec"
1,0x584E3393,"Mobile_Med_Unit_01_SPwr"
1,0x0C42833E,"Portable_Cots_01_Diff"
1,0xB91A8F19,"Portable_Cots_01_Emis"
1,0x7E62EE22,"Portable_Cots_01_Norm"
1,0x1C05EFE3,"Portable_Cots_01_Spec"
1,0x1A282E5A,"Portable_Stairs_01_Diff"
1,0xBE652F82,"Portable_Stairs_01_Emis"
1,0xD4C85D8A,"Portable_Stairs_01_Norm"
1,0x73BE498E,"Portable_Stairs_01_Spec"
1,0xD506BF5C,"Portable_Stairs_01_SPwr"
1,0x40BBC7D4,"CubemapFace0"
1,0x40BBC7D4,"CubemapFace1"
1,0x40BBC7D4,"CubemapFace2"
1,0x40BBC7D4,"CubemapFace3"
1,0x40BBC7D4,"CubemapFace4"
1,0x40BBC7D4,"CubemapFace5"
1,0x4F5312CE,"Potted_Plant_01_Diff"
1,0x856F13ED,"Potted_Plant_01_Norm"
1,0xAE30B7EA,"Potted_Plant_01_opac"
1,0x40BBC7D4,"Potted_Plant_01_Refl"
1,0x12BF8B4C,"Potted_Plant_01_Spec"
1,0xCFF0C341,"Prothean_Beacon_Diff"
1,0xF1B037F8,"Prothean_Beacon_Norm"
1,0xE4B26937,"Prothean_Beacon_Spec_Stack"
1,0x2B4A1111,"Rachni_Egg_01_Diff"
1,0xEE54C66D,"Rachni_Egg_01_Emis"
1,0x46445621,"Rachni_Egg_01_Norm"
1,0xF330F870,"Rachni_Egg_01_Spec"
1,0xCEA39462,"Rachni_Egg_01_SPwr"
1,0xA62B312F,"Shelf_01_Diff"
1,0xB86B815E,"Shelf_01_Norm"
1,0x97987824,"Shelf_01_Spec"
1,0x365B612A,"Shelf_01_Spwr"
1,0xC8A32EDA,"Table_Cafeteria_01_Diff"
1,0xC30B809B,"Table_Cafeteria_01_Norm"
1,0x5A729E35,"Table_Cafeteria_01_Refl"
1,0x336E7FEA,"Table_Cafeteria_01_Spec"
1,0x0B03B080,"Table_Cafeteria_01_SPpw"
1,0x846B2D5F,"Table_Large_01_Diff"
1,0xF0A5B40D,"Table_Large_01_Norm"
1,0x76D06F3A,"Table_Large_01_Refl"
1,0xF66DA23D,"Table_Large_01_Spec"
1,0x6B5D0A0E,"Table_Large_01_Spwr"
1,0x453AC552,"Tank_Trap_Barricade_01_Diff"
1,0xBE7C5F6F,"Tank_Trap_Barricade_01_Mask"
1,0xB1D5E4C8,"Tank_Trap_Barricade_01_Norm"
1,0x6218A6B1,"Tank_Trap_Barricade_01_Spec"
1,0x8E8F3F14,"Tool2_01_Diff"
1,0xD7466320,"Tool2_01_Emis"
1,0x30337913,"Tool2_01_Norm"
1,0x5A729E35,"Tool2_01_Refl"
1,0xCB211D67,"Tool2_01_Spec"
1,0x1B5430F6,"WAR20_TOWER_DIFF"
1,0x5F2A989B,"WAR20_TOWER_NORM"
1,0x9F43CFE1,"Truck_Jack_01_Diff"
1,0x30740994,"Truck_Jack_01_Norm"
1,0x26AFF2A6,"Truck_Jack_01_Spec"
1,0xBB53368E,"Truck_Jack_01_Spec_power"
1,0x6C1EF2F3,"Truck_Jack_01_SPpw"
1,0x6000CE78,"VI_Mira_01_Diff"
1,0x487901F2,"VI_Mira_01_Emis"
1,0x6DE2E07D,"VI_Mira_01_Norm"
1,0x0BCB7CA2,"VI_Mira_01_Spec"
1,0xC39E368C,"VI_Mira_01_SPwr"
1,0xB503AFA5,"VI_News_01_Diff"
1,0xA8C8146F,"VI_News_01_Emis"
1,0xC220DC2B,"VI_News_01_Norm"
1,0x054A7D1A,"VI_News_01_Spec"
1,0xC10A3BA9,"VI_News_01_SPwr"
1,0xC6CD2707,"VI_Oculon_01_Diff"
1,0x7FB4B3F5,"VI_Oculon_01_Emis"
1,0x2FC19A9F,"VI_Oculon_01_Norm"
1,0x7697B2FF,"VI_Oculon_01_Spec"
1,0x7DE9C015,"VI_Oculon_01_SPwr"
1,0xBDA436D5,"VI_Prothean_Diff"
1,0x7D634207,"VI_Prothean_Spec"
1,0x8C8AEBF7,"VI_Prothean_Tmask"
1,0xAAF029E8,"v_War_Cover_Destroyed_VFX_Prefab_Preview"
1,0x196EC653,"War_Cover_01_Diff"
1,0x95D3B8CC,"War_Cover_01_norm"
1,0x90C69FE3,"War_Cover_01_Spec"
1,0xA10A5C86,"War_Cover_01_SPpw"
1,0x9BDDA524,"Work_Lamp_01_Diff"
1,0x3A5B51D6,"Work_Lamp_01_emis"
1,0x1B1BF6E7,"Work_Lamp_01_Norm"
1,0x27DD9975,"Work_Lamp_01_spec"
1,0xA9753629,"Work_Lamp_01_spwr"
1,0x4D2434FD,"turret01_diff"
1,0x0CBCDA1F,"turret01_norm"
1,0x1F59C82A,"Vehicle_Ambient_01_Diff"
1,0x92DA043C,"Vehicle_Ambient_01_Emis"
1,0x7CACD2AA,"Vehicle_Ambient_01_Norm"
1,0xAD4DA713,"Mass_Relay_01_Diff"
1,0x97999F01,"Mass_Relay_01_Emis"
1,0xC98597D9,"Mass_Relay_01_Norm"
1,0x480CA0D9,"Mass_Relay_01_RotMask"
1,0xE434FAB5,"Mass_Relay_01_Spec"
1,0xB77181E9,"Mass_Relay_01_SPwr"
1,0x2432C84D,"VEH_NOR_Diff_Stack"
1,0xFC95181F,"VEH_NOR_Norm_Stack"
1,0x02073913,"VEH_NOR_Spec_Stack"
1,0x4890AA10,"Decal"
1,0x01665304,"Nor_Front_Engine_05"
1,0x33756634,"Nor_Front_Engine_06"
1,0x56718127,"VEH_NOR_Engines"
1,0x46280806,"BIOG_SHT_Diff"
1,0x85F4D938,"BIOG_SHT_Emis"
1,0x5C6ABD9A,"BIOG_SHT_Emis_M01"
1,0x54147F63,"BIOG_SHT_Emis_M02"
1,0x49167752,"BIOG_SHT_Norm"
1,0x83D295C0,"BIOG_SHT_Spec"
1,0x320B9271,"BIOG_SHT_Spec_M01"
1,0xC4A2570C,"BIOG_SHT_Spec_Pwr"
1,0xC8518AD1,"SOV_Dtd_Diff"
1,0x943E2ACF,"SOV_Dtd_Emis"
1,0x8FD0C6CF,"SOV_Dtd_Norm"
1,0xF49007ED,"SOV_Dtd_Spec"
1,0x81260B4D,"SOV_Dtd_Spec_M01"
1,0xB8E9A16C,"VEH_SOV_Diff_Stack"
1,0xA46D34AD,"VEH_SOV_Emis_Stack"
1,0xA3E8FC46,"VEH_SOV_Norm_Stack"
1,0x305C6ED1,"VEH_SOV_Spec_Stack"
1,0xF6AA0402,"Sov_Diff_Stack"
1,0xEFE31493,"Sov_Norm_Stack"
1,0x5F42DC3A,"Sov_Spec_Stack"
1,0x27C040DA,"Ball_Turret_01_Diff"
1,0xBEE8A191,"Ball_Turret_01_Norm"
1,0x101CF913,"Ball_Turret_01_Spec"
1,0xA4AB388C,"Ball_Turret_01_SPpw"
1,0xCC7A0EC0,"Destiny_Ascension_01_Diff"
1,0xA0EC0B40,"Destiny_Ascension_01_Emis"
1,0xBC7689EA,"Destiny_Ascension_01_Norm"
1,0xDECD8738,"Destiny_Ascension_01_RotMask_Dup"
1,0xD2F68253,"Destiny_Ascension_01_Spec"
1,0x23C76173,"Damaged_Car_01_Diff"
1,0xD933286F,"Damaged_Car_01_Norm"
1,0x0B7D46E2,"Damaged_Car_01_Spec"
1,0x5189D45B,"Damaged_Car_01_SPwr"
1,0xED4C8DBE,"Human_Dread_Ship_01_Destoyed_Diff"
1,0xCA298A2D,"Human_Dread_Ship_01_Destoyed_Spec"
1,0x043EF6F4,"Human_Dreadnaught_01_Destoyed_Diff"
1,0xDC0D0027,"Human_Dreadnaught_01_Destoyed_Emis"
1,0xA6176FF1,"Human_Dreadnaught_01_Destoyed_Norm"
1,0xFF397079,"Human_Dreadnaught_01_Destoyed_Spec"
1,0x8995DC92,"Human_Dread_Ship_02_Destoyed_Diff"
1,0x0AA811A2,"Human_Dread_Ship_02_Destoyed_Spec"
1,0xCF7DB148,"Human_Dreadnaught_02_Destoyed_Diff"
1,0x31261D24,"Human_Dreadnaught_02_Destoyed_Emis"
1,0xC277BA4F,"Human_Dreadnaught_02_Destoyed_Norm"
1,0xB12C53DB,"Human_Dreadnaught_02_Destoyed_Spec"
1,0xC60576E8,"Human_Dreadnaught_01_Diff_Dup"
1,0x07307E5E,"Human_Dreadnaught_01_Emis_Dup"
1,0x3AAB66E6,"Human_Dreadnaught_01_Norm_Dup"
1,0x8D5F7935,"Human_Dreadnaught_01_Spec_Dup"
1,0x73A53501,"Human_Dreadnaught_01_SPpw_Dup"
1,0xDB6688FC,"Human_Dread_Ship_01_Destoyed_BlastGlows"
1,0xC3CEE1C4,"Destiny_Ascension_01_Diff"
1,0x4AE079D3,"Destiny_Ascension_01_Emis"
1,0x1C016016,"Destiny_Ascension_01_Norm"
1,0xDECD8738,"Destiny_Ascension_01_RotMask"
1,0x5D178194,"Destiny_Ascension_01_Spec"
1,0x464ACBCE,"Destiny_Ascension_01_SPwr"
1,0xDAB772B5,"Freighter_01_Diff"
1,0x76506B9E,"Freighter_01_Norm"
1,0x5A729E35,"Freighter_01_Refmap"
1,0x9CD5E600,"Freighter_01_Spec"
1,0x4E5423C2,"Freighter_01_SPwr"
1,0x6B31C812,"GethCruiser_01_Diff_Stack"
1,0x0E5B04A0,"GethCruiser_01_Norm_Stack"
1,0x086798AE,"GethCruiser_01_Spec_Stack"
1,0xF1070A9C,"GethCruiser_Greeble_Norm_Stack"
1,0x939BD3F9,"GethCruiserDMGa_Diff"
1,0x85B8C73E,"GethCruiserDMGa_Emis"
1,0x5E49D4EC,"GethCruiserDMGa_Norm"
1,0x0F361DCE,"GethCruiserDMGa_Spec"
1,0x9134998D,"GethCruiserDMGb_Diff"
1,0x678A25C8,"GethCruiserDMGb_Emis"
1,0x981DF19C,"GethCruiserDMGb_Norm"
1,0x91F86496,"GethCruiserDMGa_DifflMap"
1,0x85B8C73E,"GethCruiserDMGa_EMISSbeammove"
1,0x4408C8CE,"GethCruiserDMGa_NormalMap"
1,0x146024A8,"GethCruiserDMGa_SPECMap"
1,0x1156EE06,"GethCruiserDMGb_DIFFMap"
1,0x692CD550,"GethCruiserDMGb_EMISSMap"
1,0x2D53425C,"GethCruiserDMGb_NormalMap"
1,0xBB92D71E,"GethCruiser_01_Diff"
1,0x5878F1AC,"GethCruiser_01_Emis"
1,0xE0B7F658,"GethCruiser_01_Norm"
1,0x5F6B749C,"GethCruiser_01_Spec"
1,0x28A8D1A5,"GethCruiser_01_SPwr"
1,0x7C0F06E1,"GethTransport_01_diff"
1,0xE7B279F4,"GethTransport_01_Emis"
1,0xD38F9A7B,"GethTransport_01_Norm"
1,0x61B421AA,"GethTransport_01_spec"
1,0x2B288F08,"GethTransport_01_SPwr"
1,0x12AF8FDC,"HumanFighter_01_Diff"
1,0x7392E944,"HumanFighter_01_Norm"
1,0x03818368,"HumanFighter_01_Spec"
1,0x1320BA8F,"HumanFighter_01_SPwr"
1,0x94C87097,"VEH_Mass_Relay_01_Diff_Stack"
1,0x8B325741,"VEH_Mass_Relay_01_Norm_Stack"
1,0x0618320D,"VEH_Mass_Relay_01_RotMask"
1,0x8AE075AE,"VEH_Mass_Relay_01_Spec_Stack"
1,0x97999F01,"VEH_Mass_Relay_Emis"
1,0x4F5400E3,"Oculon_01_Diff"
1,0x948ECC3E,"Oculon_01_Emis"
1,0x30D75DCA,"Oculon_01_Norm"
1,0x79FBF09B,"Oculon_01_Spec"
1,0x8A337BF9,"Oculon_02_Diff"
1,0xD681EC83,"Oculon_02_Emis"
1,0xCDA0671D,"Oculon_02_Norm"
1,0xD9EC72B7,"Oculon_02_Spec"
1,0x543CBDD9,"V_ROVa_Cha_Bas_Diff_Stack"
1,0x64476856,"V_ROVa_Cha_Bas_Emis_Stack"
1,0x16CDFD49,"V_ROVa_Cha_Bas_Norm_Stack"
1,0x9889F8DF,"V_ROVa_Cha_Bas_Spwr_Stack"
1,0xB52B4C8A,"V_ROVa_Tur_Bas_Diff_Stack"
1,0x1707CCB3,"V_ROVa_Tur_Bas_Norm_Stack"
1,0x361AEDCE,"V_ROVa_Whe_Bas_Diff_Stack"
1,0x8C145F63,"V_ROVa_Whe_Bas_Norm_Stack"
1,0x9A08E5D1,"V_ROVa_Whe_Bas_Spwr_Stack"
1,0xD2FE1C92,"CubemapFace0"
1,0x8666630A,"CubemapFace1"
1,0xF20C0C64,"CubemapFace2"
1,0x51842CD5,"CubemapFace3"
1,0xDFDC327B,"CubemapFace4"
1,0xB9F16200,"CubemapFace5"
1,0x8666630A,"VEH_ROVa_Bas_Cube_Tex_1aNegX"
1,0x51842CD5,"VEH_ROVa_Bas_Cube_Tex_1aNegY"
1,0xB9F16200,"VEH_ROVa_Bas_Cube_Tex_1aNegZ"
1,0xD2FE1C92,"VEH_ROVa_Bas_Cube_Tex_1aPosX"
1,0xF20C0C64,"VEH_ROVa_Bas_Cube_Tex_1aPosY"
1,0xDFDC327B,"VEH_ROVa_Bas_Cube_Tex_1aPosZ"
1,0x730C7CF6,"V_ROVa_Cha_Dam_Norm_Stack"
1,0x3F8D9E83,"VEH_TRK_Min_Diff"
1,0xDC7B39C1,"VEH_TRK_Min_Norm"
1,0xE82F2D42,"VEH_TRK_Min_Spec"
1,0xC86208D3,"VEH_TTR_Diff"
1,0xE0F3FA39,"VEH_TTR_Norm"
1,0xA0153AD6,"VEH_TTR_Spec"
1,0x8A2A7B41,"VEH_TTR_Spwr"
1,0xF86A3A9B,"Turian_Frigate_01_Norm"
1,0x5A729E35,"Turian_Frigate_01_Refmap"
1,0xF47F647C,"Turian_Frigate_01_Spec"
1,0x2B5730DF,"Turian_Frigate_01_SPwr"
1,0x9FCE40CE,"Turian_Frigate_Diff"
1,0x3F5C9191,"VEH_TGIF_Diff"
1,0x59728D10,"VEH_TGIF_Norm"
1,0x4D578291,"VEH_TGIF_Spec"
1,0x5A729E35,"Turian_Frigate_01_Refmap_Dup"
1,0x61C261CD,"Turian_Frigate_Emiss"
1,0x8F178FEF,"TurianDamage_Diff"
1,0x96C56596,"VEH_GTH_Diff"
1,0x5C3AC34F,"VEH_GTH_Norm"
1,0x28260EE7,"VEH_GTH_Spec"
1,0xFF81996B,"cloud_Dup"
1,0xEED4B498,"DualSun_Prefab_Preview"
1,0xA91C3FF7,"SunFX_Prefab_Preview"
1,0x4720A8DE,"scanner_Line"
1,0x5CC4CFF4,"AeroLightLarge_PageA"
1,0xD3FD302D,"AeroLightLarge_PageB"
1,0x722D0EA7,"AeroLightLarge_PageC"
1,0x01CF582A,"AeroLightLarge_PageD"
1,0x2CAC55EF,"AeroLightLarge_PageE"
1,0xC6F16ADD,"AeroLightLarge_PageF"
